"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2862","Successfull","webkit","2026-07-01","passed","2026-07-01","","webInputs.spec.ts","",""
"","0","Post Call Health check of an API","webkit","2026-07-01","skipped","2026-07-01","","apitest.spec.ts","",""
"","3922","@invalidPassword Invalid Password","chromium","2026-07-01","passed","2026-07-01","","login.spec.ts","",""
"","3141","@webInput WebInput:","chromium","2026-07-01","passed","2026-07-01","","webInputs.spec.ts","",""
"","0","Post Call Health check of an API","chromium","2026-07-01","skipped","2026-07-01","","apitest.spec.ts","",""
"","60068","@webInput WebInput: FirstScenario","firefox","2026-07-01","broken","2026-07-01","","webInputs.spec.ts","",""
"","1487","Login with email and Password","firefox","2026-07-01","passed","2026-07-01","Authenticate the user with for the resources","apiTesting.spec.ts","",""
"","3063","Successfull","firefox","2026-07-01","passed","2026-07-01","","webInputs.spec.ts","",""
"","60025","@webInput WebInput: FirstScenario","chromium","2026-07-01","broken","2026-07-01","","webInputs.spec.ts","",""
"","863","Patch the User Profile","webkit","2026-07-01","passed","2026-07-01","Authenticate the user with for the resources","apiTesting.spec.ts","",""
"","4195","@Login Login Verification: Valid credentials","chromium","2026-07-01","passed","2026-07-01","","Parameteriselogin.spec.ts","",""
"","131","Health check of an API","chromium","2026-07-01","passed","2026-07-01","","apitest.spec.ts","",""
"","60059","@webInput WebInput: FirstScenario","webkit","2026-07-01","broken","2026-07-01","","webInputs.spec.ts","",""
"","4013","Verify The Successfull Login","webkit","2026-07-01","failed","2026-07-01","","login.spec.ts","",""
"","784","Patch the User Profile","chromium","2026-07-01","passed","2026-07-01","Authenticate the user with for the resources","apiTesting.spec.ts","",""
"","2602","@webInput WebInput:","webkit","2026-07-01","passed","2026-07-01","","webInputs.spec.ts","",""
"","3333","@Login Login Verification: Invalid username","webkit","2026-07-01","passed","2026-07-01","","Parameteriselogin.spec.ts","",""
"","625","Health check of an API","firefox","2026-07-01","passed","2026-07-01","","apitest.spec.ts","",""
"","3602","@invalidUserName Invalid Username","firefox","2026-07-01","passed","2026-07-01","@Login functionality testing","describeLoginFeature.spec.ts","",""
"","5047","Verify The Successfull Login","firefox","2026-07-01","passed","2026-07-01","@Login functionality testing","describeLoginFeature.spec.ts","",""
"","4083","@Login Login Verification: Valid credentials","webkit","2026-07-01","passed","2026-07-01","","Parameteriselogin.spec.ts","",""
